ID,Segment Type,Segment Description,Answer,Count,Percentage,It became a Relationship,Value
293445,University,Union College,Yes,1,11.10%,Yes,11.1
293447,University,Union College,No,7,77.80%,No,77.8
293449,University,Union College,I don't use Tinder,1,11.10%,No,11.1
293451,University,Loyola University Maryland,Yes,0,0.00%,No,0
293453,University,Loyola University Maryland,No,3,100.00%,Yes,100
293455,University,Loyola University Maryland,I don't use Tinder,0,0.00%,No,0
293457,University,Marquette University,Yes,1,50.00%,No,50
293459,University,Marquette University,No,1,50.00%,No,50
293461,University,Marquette University,I don't use Tinder,0,0.00%,Yes,0
293463,University,James Madison University,Yes,1,100.00%,No,100
293465,University,James Madison University,No,0,0.00%,No,0
293467,University,James Madison University,I don't use Tinder,0,0.00%,No,0
293469,University,Sacred Heart University,Yes,0,0.00%,Yes,0
293471,University,Sacred Heart University,No,1,100.00%,No,100
293473,University,Sacred Heart University,I don't use Tinder,0,0.00%,Yes,0
293475,University,University of Wisconsin-Whitewater,Yes,2,40.00%,No,40
293477,University,University of Wisconsin-Whitewater,No,2,40.00%,No,40
293479,University,University of Wisconsin-Whitewater,I don't use Tinder,1,20.00%,No,20
293481,University,St. Lawrence University,Yes,1,100.00%,Yes,100
293483,University,St. Lawrence University,No,0,0.00%,No,0
293485,University,St. Lawrence University,I don't use Tinder,0,0.00%,No,0
293487,University,Iowa State University,Yes,0,0.00%,No,0
293489,University,Iowa State University,No,1,100.00%,Yes,100
293491,University,Iowa State University,I don't use Tinder,0,0.00%,No,0
293493,University,University of Wisconsin-La Crosse,Yes,0,0.00%,No,0
293495,University,University of Wisconsin-La Crosse,No,2,66.70%,No,66.7
293497,University,University of Wisconsin-La Crosse,I don't use Tinder,1,33.30%,Yes,33.3
293499,University,College of William and Mary,Yes,3,18.80%,No,18.8
293501,University,College of William and Mary,No,7,43.80%,Yes,43.8
293503,University,College of William and Mary,I don't use Tinder,6,37.50%,No,37.5
293505,University,University of Notre Dame,Yes,0,0.00%,No,0
293507,University,University of Notre Dame,No,3,60.00%,No,60
293509,University,University of Notre Dame,I don't use Tinder,2,40.00%,Yes,40
293511,University,University of Tennessee,Yes,2,50.00%,No,50
293513,University,University of Tennessee,No,1,25.00%,No,25
293515,University,University of Tennessee,I don't use Tinder,1,25.00%,No,25
293517,University,Illinois State,Yes,0,0.00%,Yes,0
293519,University,Illinois State,No,1,50.00%,No,50
293521,University,Illinois State,I don't use Tinder,1,50.00%,No,50
293523,University,Auburn University,Yes,0,0.00%,No,0
293525,University,Auburn University,No,1,100.00%,Yes,100
293527,University,Auburn University,I don't use Tinder,0,0.00%,No,0
